category,color_brightness,entropy,ID,instruction,instruction_type,Descript,param_ratio,Code,unit_n,verify
"Travel goods, cases, parasols and personal belongings, not elsewhere specified",Dark,4.441179908,6de5b6a5-c605-4e0e-a427-01d794467cd4,Create a fruit basket with a round shape.,Outlook Question,Fruit Basket,6.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color for the basket
basket_color = bpy.data.materials.new(name=""BasketColor"")
basket_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Brown color

# Step 2: Create the Basket Base
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.2, location=(0, 0, 0))
basket_base = bpy.context.object
basket_base.name = ""BasketBase""
basket_base.data.materials.append(basket_color)

# Step 3: Create the Basket Walls
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=1, location=(0, 0, 0.6))
basket_walls = bpy.context.object
basket_walls.name = ""BasketWalls""
basket_walls.data.materials.append(basket_color)

# Step 4: Hollow out the Basket Walls
bpy.ops.mesh.primitive_cylinder_add(radius=0.9, depth=1.2, location=(0, 0, 0.6))
inner_wall = bpy.context.object
inner_wall.name = ""InnerWall""

# Boolean modifier to hollow out the basket
mod_bool = basket_walls.modifiers.new(name=""Boolean"", type='BOOLEAN')
mod_bool.operation = 'DIFFERENCE'
mod_bool.object = inner_wall
bpy.context.view_layer.objects.active = basket_walls
bpy.ops.object.modifier_apply(modifier=""Boolean"")

# Remove the inner wall object
bpy.data.objects.remove(inner_wall, do_unlink=True)",3,gpt
"Graphic symbols and logos, surface patterns, ornamentation, arrangement of interiors and exteriors",Medium Bright,2.2152355,0c36a653-1410-45a8-b398-790b522ba5a4,Picture a dining table for six people. Begin with a rectangular top. Add legs that provide stability without taking up excessive space. Consider the proportions needed for comfortable seating.,Feature Question,Dining Table,3.5,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Step 2: Create the Table Top
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.75))
table_top = bpy.context.object
table_top.scale = (1.5, 1, 0.1)  # Rectangular top
table_top.name = ""Table Top""

# Step 3: Create the Table Legs
leg_height = 0.7
leg_radius = 0.05
leg_positions = [(-1.4, -0.9, 0), (1.4, -0.9, 0), (-1.4, 0.9, 0), (1.4, 0.9, 0)]

for pos in leg_positions:
    bpy.ops.mesh.primitive_cylinder_add(radius=leg_radius, depth=leg_height, location=(pos[0], pos[1], leg_height/2))
    leg = bpy.context.object
    leg.name = f""Leg {leg_positions.index(pos) + 1}""
",2,gpt
"Household goods, not elsewhere specified",Very Dark,6.122355785,0cf38353-9e38-4067-835d-8e601d79254d,"Envision a chess game setup with a board and pieces. The board is a standard 8x8 grid, and each piece should be easily distinguishable by its traditional shape. Include all pawns, rooks, knights, bishops, a queen, and a king for both sides.",Comparing Question,Chess Game,0.303030303,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Step 2: Create the Chess Board
bpy.ops.mesh.primitive_plane_add(size=8, location=(0, 0, 0))
board = bpy.context.object
board.name = ""Chess Board""

# Create the squares
for i in range(8):
    for j in range(8):
        bpy.ops.mesh.primitive_plane_add(size=1, location=(i - 3.5, j - 3.5, 0.01))
        square = bpy.context.object
        square.name = f""Square_{i}_{j}""
        if (i + j) % 2 == 0:
            square_material = bpy.data.materials.new(name=""White Square"")
            square_material.diffuse_color = (1, 1, 1, 1)  # White
        else:
            square_material = bpy.data.materials.new(name=""Black Square"")
            square_material.diffuse_color = (0, 0, 0, 1)  # Black
        square.data.materials.append(square_material)

# Step 3: Create the Chess Pieces
def create_piece(name, location, color):
    bpy.ops.mesh.primitive_uv_sphere_add(radius=0.3, location=location)
    piece = bpy.context.object
    piece.name = name
    piece_material = bpy.data.materials.new(name=f""{name} Material"")
    piece_material.diffuse_color = color
    piece.data.materials.append(piece_material)

# Define colors
white = (1, 1, 1, 1)
black = (0, 0, 0, 1)

# Create pawns
for i in range(8):
    create_piece(f""White Pawn {i+1}"", (i - 3.5, -2.5, 0.3), white)
    create_piece(f""Black Pawn {i+1}"", (i - 3.5, 2.5, 0.3), black)

# Create rooks
create_piece(""White Rook 1"", (-3.5, -3.5, 0.3), white)
create_piece(""White Rook 2"", (3.5, -3.5, 0.3), white)
create_piece(""Black Rook 1"", (-3.5, 3.5, 0.3), black)
create_piece(""Black Rook 2"", (3.5, 3.5, 0.3), black)

# Create knights
create_piece(""White Knight 1"", (-2.5, -3.5, 0.3), white)
create_piece(""White Knight 2"", (2.5, -3.5, 0.3), white)
create_piece(""Black Knight 1"", (-2.5, 3.5, 0.3), black)
create_piece(""Black Knight 2"", (2.5, 3.5, 0.3), black)

# Create bishops
create_piece(""White Bishop 1"", (-1.5, -3.5, 0.3), white)
create_piece(""White Bishop 2"", (1.5, -3.5, 0.3), white)
create_piece(""Black Bishop 1"", (-1.5, 3.5, 0.3), black)
create_piece(""Black Bishop 2"", (1.5, 3.5, 0.3), black)

# Create queens
create_piece(""White Queen"", (0.5, -3.5, 0.3), white)
create_piece(""Black Queen"", (0.5, 3.5, 0.3), black)

# Create kings
create_piece(""White King"", (-0.5, -3.5, 0.3), white)
create_piece(""Black King"", (-0.5, 3.5, 0.3), black)",66,gpt
"Recording, telecommunication or data processing equipment",Medium Bright,5.664350236,e24a3cf2-9ba4-4c3f-b03f-54fa4a87f907,Design a simple 3D logo that consists of interlocking gears.,Comparing Question,Logo,6.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
gear_color = bpy.data.materials.new(name=""Gear Color"")
gear_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color

# Step 2: Create the First Gear
bpy.ops.mesh.primitive_torus_add(major_radius=1, minor_radius=0.2, location=(0, 0, 0))
gear1 = bpy.context.object
gear1.name = ""Gear 1""
gear1.data.materials.append(gear_color)

# Step 3: Create the Second Gear
bpy.ops.mesh.primitive_torus_add(major_radius=1, minor_radius=0.2, location=(1.5, 0, 0))
gear2 = bpy.context.object
gear2.name = ""Gear 2""
gear2.data.materials.append(gear_color)

# Step 4: Create the Third Gear
bpy.ops.mesh.primitive_torus_add(major_radius=1, minor_radius=0.2, location=(0.75, 1.3, 0))
gear3 = bpy.context.object
gear3.name = ""Gear 3""
gear3.data.materials.append(gear_color)",3,gpt
Articles for the care and handling of animals,Medium Bright,4.472357274,0a3511b9-0531-4545-ad5f-5f95f0dcb41f,Create a blender with a cylindrical base and a conical blending jar. The base should have a single button on the front.,Outlook Question,Blender,8.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
base_color = bpy.data.materials.new(name=""Base Color"")
base_color.diffuse_color = (0.2, 0.2, 0.2, 1)  # Dark gray color
button_color = bpy.data.materials.new(name=""Button Color"")
button_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=1, depth=0.5, location=(0, 0, 0.25))
base = bpy.context.object
base.name = ""Base""
base.data.materials.append(base_color)

# Step 3: Create the Blending Jar
bpy.ops.mesh.primitive_cone_add(radius1=0.8, radius2=0, depth=2, location=(0, 0, 1.25))
jar = bpy.context.object
jar.name = ""Jar""
jar.data.materials.append(base_color)

# Step 4: Create the Button
bpy.ops.mesh.primitive_cube_add(size=0.3, location=(0, 0.9, 0.25))
button = bpy.context.object
button.name = ""Button""
button.data.materials.append(button_color)",3,gpt
Articles for the care and handling of animals,Dark,3.809931017,0a5ecac8-e60b-461d-bc63-5e70ef535eca,Create a screwdriver with a flat head and a straight handle.,Verbal Question,Screwdriver,8,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
metal = bpy.data.materials.new(name=""Metal"")
metal.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color for metal
handle_color = bpy.data.materials.new(name=""Handle Color"")
handle_color.diffuse_color = (0.8, 0.2, 0.2, 1)  # Red color for handle

# Step 2: Create the Handle
bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=1.0, location=(0, 0, 0.5))
handle = bpy.context.object
handle.name = ""Handle""
handle.data.materials.append(handle_color)

# Step 3: Create the Shaft
bpy.ops.mesh.primitive_cylinder_add(radius=0.02, depth=1.5, location=(0, 0, 1.75))
shaft = bpy.context.object
shaft.name = ""Shaft""
shaft.data.materials.append(metal)

# Step 4: Create the Flat Head
bpy.ops.mesh.primitive_cube_add(size=0.1, location=(0, 0, 2.55))
head = bpy.context.object
head.scale[1] = 0.02  # Make it flat
head.name = ""Flat Head""
head.data.materials.append(metal)",3,gpt
"Equipment for production, distribution or transformation of electricity",Dark,2.079441542,0c549c96-7a64-4bc6-8fa5-61b22c131962,Generate a picture frame that can hold a standard 8x10 photo.,Specific Usage Question,Picture Frame,6.5,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
frame_color = bpy.data.materials.new(name=""Frame Color"")
frame_color.diffuse_color = (0.5, 0.3, 0.1, 1)  # Brown color

# Step 2: Create the Outer Frame
bpy.ops.mesh.primitive_cube_add(size=1, location=(0, 0, 0))
outer_frame = bpy.context.object
outer_frame.name = ""Outer Frame""
outer_frame.scale = (1, 0.1, 1.5)
outer_frame.data.materials.append(frame_color)

# Step 3: Create the Inner Frame (cutout)
bpy.ops.mesh.primitive_cube_add(size=1, location=(0, 0, 0))
inner_frame = bpy.context.object
inner_frame.name = ""Inner Frame""
inner_frame.scale = (0.9, 0.1, 1.4)
inner_frame.data.materials.append(frame_color)

# Boolean modifier to create the frame
mod_bool = outer_frame.modifiers.new(type=""BOOLEAN"", name=""bool_mod"")
mod_bool.operation = 'DIFFERENCE'
mod_bool.object = inner_frame
bpy.context.view_layer.objects.active = outer_frame
bpy.ops.object.modifier_apply(modifier=""bool_mod"")

# Remove the inner frame
bpy.data.objects.remove(inner_frame, do_unlink=True)",2,gpt
"Household goods, not elsewhere specified",Medium Bright,4.361815918,0ce0a5bb-0589-4cb5-879a-704fb4ba9e4d,"Please create a cat scratching post. Start with a circular base, 18 inches in diameter. The post itself should be 24 inches tall. Add a small platform at the top, about 12 inches square. Cover the post with a rough material suitable for scratching.",Verbal Question,Cat Scratching Post,6.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Step 2: Create the Base
bpy.ops.mesh.primitive_cylinder_add(radius=0.45, depth=0.1, location=(0, 0, 0))
base = bpy.context.object
base.name = ""Base""

# Step 3: Create the Post
bpy.ops.mesh.primitive_cylinder_add(radius=0.1, depth=0.6, location=(0, 0, 0.35))
post = bpy.context.object
post.name = ""Post""

# Step 4: Create the Platform
bpy.ops.mesh.primitive_cube_add(size=0.3, location=(0, 0, 0.65))
platform = bpy.context.object
platform.name = ""Platform""

# Step 5: Assign a Material to the Post
material = bpy.data.materials.new(name=""RoughMaterial"")
material.diffuse_color = (0.5, 0.25, 0.1, 1)  # Brown color
post.data.materials.append(material)",3,gpt
Foodstuffs,Medium Bright,3.728288613,0ee8d118-d992-4b08-ac5a-ba414a53eca9,"Hi! Could you create a 3D model of a bookshelf for me? The bookshelf should have five shelves, evenly spaced. Each shelf should be long enough to hold several books. The overall shape should be rectangular, with the shelves supported by vertical sides. No need for any additional details or decorations.",Outlook Question,Bookshelf,4.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the dimensions
shelf_width = 2
shelf_height = 0.1
shelf_depth = 0.4
shelf_spacing = 0.6
num_shelves = 5
side_thickness = 0.1

# Define the color
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Wood color

# Step 2: Create the Shelves
for i in range(num_shelves):
    z = i * shelf_spacing
    bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, z))
    shelf = bpy.context.object
    shelf.scale = (shelf_width / 2, shelf_depth / 2, shelf_height / 2)
    shelf.name = f""Shelf {i + 1}""
    shelf.data.materials.append(wood_color)

# Step 3: Create the Vertical Sides
for i in range(2):
    x = shelf_width / 2 * (i * 2 - 1)
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, num_shelves * shelf_spacing / 2))
    side = bpy.context.object
    side.scale = (side_thickness / 2, shelf_depth / 2, num_shelves * shelf_spacing / 2)
    side.name = f""Side {i + 1}""
    side.data.materials.append(wood_color)",3,gpt
"Household goods, not elsewhere specified",Dark,3.431225536,1f40383b-ad07-4a3a-96d4-a03a4d0e0bc7,"Create a 3D model of a bookshelf with five shelves. The bookshelf should be tall and rectangular. Ensure the shelves are evenly spaced and capable of holding books of various sizes. The design should be simple and functional, with clean lines and no unnecessary embellishments.",Feeling Question,Bookshelf,2.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the dimensions
shelf_width = 2
shelf_height = 0.1
shelf_depth = 0.4
shelf_spacing = 0.6
total_height = 3
num_shelves = 5

# Step 2: Create the Shelves
for i in range(num_shelves):
    bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, i * shelf_spacing))
    shelf = bpy.context.object
    shelf.scale = (shelf_width / 2, shelf_depth / 2, shelf_height / 2)
    shelf.name = f""Shelf {i + 1}""

# Step 3: Create the Side Panels
panel_thickness = 0.05
panel_height = total_height

for i in range(2):
    x = (shelf_width / 2) * (i * 2 - 1)
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, panel_height / 2 - shelf_height / 2))
    panel = bpy.context.object
    panel.scale = (panel_thickness / 2, shelf_depth / 2, panel_height / 2)
    panel.name = f""Side Panel {i + 1}""",3,gpt
"Graphic symbols and logos, surface patterns, ornamentation, arrangement of interiors and exteriors",Medium Bright,2.94700477,1fbb89a6-5991-4243-a29d-61910699c982,"Design a sandwich with two slices of bread, layers of lettuce, tomato, cheese, and ham. Ensure the ingredients are clearly visible between the bread slices.",Outlook Question,Sandwich,8.166666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
bread_color = bpy.data.materials.new(name=""Bread"")
bread_color.diffuse_color = (0.96, 0.87, 0.70, 1)  # Light brown color for bread
lettuce_color = bpy.data.materials.new(name=""Lettuce"")
lettuce_color.diffuse_color = (0.13, 0.55, 0.13, 1)  # Green color for lettuce
tomato_color = bpy.data.materials.new(name=""Tomato"")
tomato_color.diffuse_color = (0.8, 0.1, 0.1, 1)  # Red color for tomato
cheese_color = bpy.data.materials.new(name=""Cheese"")
cheese_color.diffuse_color = (1, 0.9, 0.5, 1)  # Yellow color for cheese
ham_color = bpy.data.materials.new(name=""Ham"")
ham_color.diffuse_color = (0.91, 0.59, 0.48, 1)  # Pink color for ham

# Step 2: Create the Bottom Bread Slice
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0))
bottom_bread = bpy.context.object
bottom_bread.name = ""Bottom Bread""
bottom_bread.scale[2] = 0.1
bottom_bread.data.materials.append(bread_color)

# Step 3: Create the Lettuce Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.2))
lettuce = bpy.context.object
lettuce.name = ""Lettuce""
lettuce.scale[2] = 0.05
lettuce.data.materials.append(lettuce_color)

# Step 4: Create the Tomato Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.3))
tomato = bpy.context.object
tomato.name = ""Tomato""
tomato.scale[2] = 0.05
tomato.data.materials.append(tomato_color)

# Step 5: Create the Cheese Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.4))
cheese = bpy.context.object
cheese.name = ""Cheese""
cheese.scale[2] = 0.05
cheese.data.materials.append(cheese_color)

# Step 6: Create the Ham Layer
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
ham = bpy.context.object
ham.name = ""Ham""
ham.scale[2] = 0.05
ham.data.materials.append(ham_color)

# Step 7: Create the Top Bread Slice
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.7))
top_bread = bpy.context.object
top_bread.name = ""Top Bread""
top_bread.scale[2] = 0.1
top_bread.data.materials.append(bread_color)",6,gpt
Medical and laboratory equipment,Medium Bright,3.872564812,2ad9f024-ddae-4b4c-b070-7efaeb266e92,Create a 3D model of a pencil. It should be hexagonal in shape with a sharpened tip and an eraser on the opposite end.,Specific Usage Question,Pencil,9.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Wood color
eraser_color = bpy.data.materials.new(name=""Eraser"")
eraser_color.diffuse_color = (0.8, 0.8, 0.8, 1)  # Light gray color for eraser

# Step 2: Create the Hexagonal Pencil Body
bpy.ops.mesh.primitive_cylinder_add(vertices=6, radius=0.05, depth=2, location=(0, 0, 1))
pencil_body = bpy.context.object
pencil_body.name = ""Pencil Body""
pencil_body.data.materials.append(wood_color)

# Step 3: Create the Sharpened Tip
bpy.ops.mesh.primitive_cone_add(vertices=32, radius1=0.05, radius2=0.01, depth=0.2, location=(0, 0, 2.1))
pencil_tip = bpy.context.object
pencil_tip.name = ""Pencil Tip""
pencil_tip.data.materials.append(wood_color)

# Step 4: Create the Eraser
bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=0.1, location=(0, 0, 0.05))
eraser = bpy.context.object
eraser.name = ""Eraser""
eraser.data.materials.append(eraser_color)",3,gpt
Articles for the care and handling of animals,Medium Bright,2.2152355,2ff8da98-7874-4ead-9762-6bd341f3d5a2,Design a 3D model of a coffee table. The table should have a rectangular top and four legs. The height of the table should be around 18 inches.,Decoration Question,Coffee Table,4.5,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Brown wood color

# Step 2: Create the Table Top
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.45))
table_top = bpy.context.object
table_top.scale[0] = 1.5  # Scale along X-axis
table_top.scale[1] = 0.75  # Scale along Y-axis
table_top.scale[2] = 0.1  # Scale along Z-axis
table_top.name = ""Table Top""
table_top.data.materials.append(wood_color)

# Step 3: Create the Legs
leg_height = 0.45
leg_radius = 0.05
leg_positions = [(-1.4, -0.7, leg_height / 2), (1.4, -0.7, leg_height / 2), (-1.4, 0.7, leg_height / 2), (1.4, 0.7, leg_height / 2)]

for i, pos in enumerate(leg_positions):
    bpy.ops.mesh.primitive_cylinder_add(radius=leg_radius, depth=leg_height, location=pos)
    leg = bpy.context.object
    leg.name = f""Leg {i + 1}""
    leg.data.materials.append(wood_color)",2,gpt
"Travel goods, cases, parasols and personal belongings, not elsewhere specified",Dark,3.728288613,3a37d501-6bc8-455c-aa4d-39fcc273f4df,Create a 3D model of a bookshelf. Compare the height and width of the shelves to ensure they are proportional.,Feature Question,Bookshelf,4.333333333,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Wood color

# Step 2: Create the Shelves
shelf_width = 2
shelf_height = 0.1
shelf_depth = 0.4
shelf_spacing = 0.6
num_shelves = 5

for i in range(num_shelves):
    bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, i * shelf_spacing))
    shelf = bpy.context.object
    shelf.scale = (shelf_width / 2, shelf_depth / 2, shelf_height / 2)
    shelf.name = f""Shelf {i + 1}""
    shelf.data.materials.append(wood_color)

# Step 3: Create the Side Panels
panel_thickness = 0.05
panel_height = num_shelves * shelf_spacing

for i in range(2):
    x = (shelf_width / 2) * (i * 2 - 1)
    bpy.ops.mesh.primitive_cube_add(size=2, location=(x, 0, panel_height / 2))
    panel = bpy.context.object
    panel.scale = (panel_thickness / 2, shelf_depth / 2, panel_height / 2)
    panel.name = f""Side Panel {i + 1}""
    panel.data.materials.append(wood_color)",3,gpt
"Stationery and office equipment, artists' and teaching materials",Very Bright,3.988984047,3a6a7ce7-21f5-41c3-9c3c-a2c9a0e46dce,"Create a 3D model of a puzzle cube. It should be a cube divided into smaller squares, each face featuring a different color. The cube should be able to twist and turn along its axes.",Specific Usage Question,Puzzle Cube,0.148148148,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
colors = [
    (1, 0, 0, 1),  # Red
    (0, 1, 0, 1),  # Green
    (0, 0, 1, 1),  # Blue
    (1, 1, 0, 1),  # Yellow
    (1, 0.5, 0, 1),  # Orange
    (1, 1, 1, 1)   # White
]

# Step 2: Create the Smaller Cubes
cube_size = 0.9
gap = 0.1
for x in range(3):
    for y in range(3):
        for z in range(3):
            bpy.ops.mesh.primitive_cube_add(size=cube_size, location=(x * (cube_size + gap), y * (cube_size + gap), z * (cube_size + gap)))
            cube = bpy.context.object
            cube.name = f""Cube_{x}_{y}_{z}""
            mat = bpy.data.materials.new(name=f""Color_{x}_{y}_{z}"")
            mat.diffuse_color = colors[(x + y + z) % len(colors)]
            cube.data.materials.append(mat)",27,gpt
"Stationery and office equipment, artists' and teaching materials",Medium Bright,3.988984047,3fd8ee75-6405-4b88-8803-122d0f39fc8c,"Create a 3D model of a puzzle cube. The cube consists of smaller cubes arranged in a 3x3 grid, with each smaller cube capable of rotating independently. The goal is to design a classic puzzle cube that challenges users to align colors on each face. The edges of the cube should be smooth for easy handling during solving.",Decoration Question,Puzzle Cube,0.148148148,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
colors = [
    (1, 0, 0, 1),  # Red
    (0, 1, 0, 1),  # Green
    (0, 0, 1, 1),  # Blue
    (1, 1, 0, 1),  # Yellow
    (1, 0.5, 0, 1),  # Orange
    (1, 1, 1, 1)   # White
]

# Step 2: Create the Smaller Cubes
cube_size = 1
gap = 0.1
for x in range(3):
    for y in range(3):
        for z in range(3):
            bpy.ops.mesh.primitive_cube_add(size=cube_size, location=(x * (cube_size + gap), y * (cube_size + gap), z * (cube_size + gap)))
            cube = bpy.context.object
            cube.name = f""Cube_{x}_{y}_{z}""
            mat = bpy.data.materials.new(name=f""Color_{x}_{y}_{z}"")
            mat.diffuse_color = colors[(x + y + z) % len(colors)]
            cube.data.materials.append(mat)",27,gpt
Articles for the care and handling of animals,Dark,4.509848341,41185f29-31cf-4fc6-ae7f-0f463127f494,Start by designing a rectangular base. Add a large cylindrical core in the center. Surround the core with evenly spaced coils. Include a pair of terminals at the top for connections.,Feature Question,Power Transformer,3.25,"import bpy
import math

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the colors
base_color = bpy.data.materials.new(name=""Base Color"")
base_color.diffuse_color = (0.5, 0.5, 0.5, 1)  # Gray color for the base
core_color = bpy.data.materials.new(name=""Core Color"")
core_color.diffuse_color = (0.2, 0.2, 0.2, 1)  # Dark gray color for the core
coil_color = bpy.data.materials.new(name=""Coil Color"")
coil_color.diffuse_color = (0.8, 0.8, 0.8, 1)  # Light gray color for the coils
terminal_color = bpy.data.materials.new(name=""Terminal Color"")
terminal_color.diffuse_color = (0.9, 0.9, 0.9, 1)  # Very light gray color for the terminals

# Step 2: Create the Base
bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, 0.5))
base = bpy.context.object
base.name = ""Base""
base.scale[2] = 0.1  # Make it thin
base.data.materials.append(base_color)

# Step 3: Create the Core
bpy.ops.mesh.primitive_cylinder_add(radius=0.3, depth=1.5, location=(0, 0, 1.25))
core = bpy.context.object
core.name = ""Core""
core.data.materials.append(core_color)

# Step 4: Create the Coils
for i in range(8):
    angle = i * (math.pi / 4)
    x = 0.6 * math.cos(angle)
    y = 0.6 * math.sin(angle)
    bpy.ops.mesh.primitive_torus_add(major_radius=0.4, minor_radius=0.05, location=(x, y, 1.25))
    coil = bpy.context.object
    coil.name = f""Coil {i + 1}""
    coil.data.materials.append(coil_color)

# Step 5: Create the Terminals
for i in range(2):
    x = 0.7 * (i * 2 - 1)
    bpy.ops.mesh.primitive_cylinder_add(radius=0.05, depth=0.2, location=(x, 0, 1.5))
    terminal = bpy.context.object
    terminal.name = f""Terminal {i + 1}""
    terminal.data.materials.append(terminal_color)",12,gpt
Articles for the care and handling of animals,Dark,3.728288613,47e5b1ff-26f0-4314-8849-d7856a5b9912,"Let's create a bookshelf. Imagine a tall, rectangular structure with multiple shelves. Each shelf is evenly spaced, providing ample room for books. The sides are simple and straight.",Feeling Question,Bookshelf,5.666666667,"import bpy

# Step 1: Clear the Scene
bpy.ops.object.select_all(action='DESELECT')
bpy.ops.object.select_by_type(type='MESH')
bpy.ops.object.delete()

# Define the color
wood_color = bpy.data.materials.new(name=""Wood"")
wood_color.diffuse_color = (0.55, 0.27, 0.07, 1)  # Wood color

# Step 2: Create the Shelves
shelf_height = 0.1
shelf_depth = 0.5
shelf_width = 2
shelf_spacing = 0.6
num_shelves = 5
for i in range(num_shelves):
    bpy.ops.mesh.primitive_cube_add(size=2, location=(0, 0, i * shelf_spacing))
    shelf = bpy.context.object
    shelf.scale = (shelf_width / 2, shelf_depth / 2, shelf_height / 2)
    shelf.name = f""Shelf {i + 1}""
    shelf.data.materials.append(wood_color)

# Step 3: Create the Sides
side_thickness = 0.1
side_height = num_shelves * shelf_spacing
bpy.ops.mesh.primitive_cube_add(size=2, location=(-shelf_width / 2 + side_thickness / 2, 0, side_height / 2))
left_side = bpy.context.object
left_side.scale = (side_thickness / 2, shelf_depth / 2, side_height / 2)
left_side.name = ""Left Side""
left_side.data.materials.append(wood_color)

bpy.ops.mesh.primitive_cube_add(size=2, location=(shelf_width / 2 - side_thickness / 2, 0, side_height / 2))
right_side = bpy.context.object
right_side.scale = (side_thickness / 2, shelf_depth / 2, side_height / 2)
right_side.name = ""Right Side""
right_side.data.materials.append(wood_color)",3,gpt
